,Component_1,Component_2,Component_3
FSC-A,0.43206775,1.7161453,0.0
FSC-H,0.0,1.5871718,0.02605374
SSC-A,1.5504019,0.7565443,0.0105925035
FITC-A,0.047323152,0.032643873,0.023567552
PE-A,0.09640802,0.06348178,0.05010962
PE-CF594-A,0.11707949,0.074097045,0.060686428
PerCP-Cy5-5-A,0.16645205,0.11704364,0.07992286
PC7-A,0.080085136,0.06425732,0.042575542
APC-A,0.040228106,0.029614916,0.013102263
APC-Alexa 700-A,0.04994207,0.036141414,0.019777684
APC AF750-A,0.041849174,0.038520753,0.02233869
BV421-A,0.068225466,0.03961601,0.033130772
BV510-A,0.09035949,0.05440549,0.043074165
BV605-A,0.057038844,0.033054516,0.027018009
BV650-A,0.11935695,0.07423685,0.05910625
BV711-A,0.13264723,0.08970183,0.06854253
BV786-A,0.31025445,0.2014748,0.1619437
BUV395-A,0.28746188,0.18325229,0.14335854
BUV737-A,0.04408774,0.032999422,0.023009123
Time,0.012054545,0.0,1.4657468
